X,Y,V
-305.1468530756368,-1772.9769933053024,42.314380815019575
-305.13872289007946,-1776.9769850428388,42.94621743243253
-305.12855489223045,-1780.9769721193302,43.56497018695382
-305.1163490847323,-1784.9769534963907,44.171206400571485
-305.1021054707508,-1788.9769281360639,44.765458263313356
-305.0858240539832,-1792.9768950001812,45.34822012494772
-305.0675048386553,-1796.9768530507897,45.91995223023804
-305.047147829522,-1800.9768012492978,46.48108397369405
-305.02475303186674,-1804.9767385577572,47.03201676377528
-305.0003204515015,-1808.976663938009,47.57312655240022
-304.97385009476795,-1812.976576351898,48.10318070598961
-304.9042827396011,-1816.9759713528297,48.62432161603282
-304.85789532949906,-1820.9757023711722,49.138345607357685
-304.81269623353217,-1824.9754469945988,49.64383434785202
-304.7686854557107,-1828.9752048681767,50.14107132966828
-304.72586299989655,-1832.9749756407446,50.63031934752782
-304.6842288698714,-1836.9747589592541,51.111827201385125
-304.64378306931116,-1840.974554470656,51.5858307233278
-304.6045256017647,-1844.9743618237853,52.052553723663536
-304.5664564707183,-1848.9741806637037,52.51220884943916
-304.5295756795491,-1852.9740106354718,52.96499836515986
-304.4938832314783,-1856.973851389809,53.41111486418765
-304.4593791296886,-1860.9737025698869,53.85074191821099
-304.4260633772096,-1864.9735638245365,54.28405467127572
-304.3939359769825,-1868.9734348007012,54.70861707645893
-304.3365801015297,-1872.9730235675368,55.12814444818701
-304.28720088592223,-1876.9727187676976,55.542760261593386
-304.2413284877718,-1880.9724557243583,55.951677451448106
-304.19896294233894,-1884.9722313630598,56.35405381644927
-304.1601042821861,-1888.9720426093131,56.74692757090814
-304.1247525371942,-1892.971886387952,57.13071476909556
-304.0929077345291,-1896.9717596246517,57.50577756801014
-304.0645698986748,-1900.971659244415,57.87245593083915
-304.03973905141777,-1904.971582172369,58.23106926258802
-304.0184152118417,-1908.9715253338388,58.58191810108449
-304.00059839634224,-1912.9714856537016,58.925285632365856
-303.9862886186131,-1916.971460057326,59.261439053807074
-303.975485889656,-1920.9714454699988,59.59063080319434
-303.96819021777213,-1924.9714388167804,59.913099669452315
-303.9644016085741,-1928.9714370226534,60.22907179860935
-303.96412006497064,-1932.9714370128854,60.538761606785336
-303.9673455871815,-1936.9714357124542,60.84237261045618
-303.9740781727238,-1940.9714300466271,61.14009818294233
-303.9843178164243,-1944.9714169402416,61.4321222449506
-303.9980645104111,-1948.9713933186463,61.71861989603779
-304.01531824411643,-1952.9713561071978,61.99975802069692
-304.11609106788507,-1956.970086510399,62.27569573668404
-304.1750380424847,-1960.9696521430335,62.54658492775104
-304.23196140712287,-1964.9692470882903,62.81257077562341
-304.286861147229,-1968.9688703223092,63.07379206348619
-304.3397372487604,-1972.9685208220894,63.330381595029465
-304.3905896981571,-1976.968197562022,63.58246654718786
-304.4394184824133,-1980.9678995190925,63.83016879686359
-304.4862235890414,-1984.9676256702808,64.07360522371057
-304.53100500603637,-1988.967374989958,64.31288799108434
-304.57376272194574,-1992.9671464550918,64.54812480704632
-304.6144967258248,-1996.9669390417762,64.7794191671215
-304.6532070072457,-2000.9667517261003,65.00687058034033
-304.68989355630714,-2004.9665834850152,65.23057477994698
-304.72455636359985,-2008.966433292865,65.45062392002275
-304.75719542026866,-2012.9663001274591,65.66710675915596
-304.7878107179409,-2016.9661829631327,65.88010883218345
-304.8164022487886,-2020.9660807768187,66.08971264300516
-305.0550067982727,-2024.9589579185547,66.29599771855943
-305.1900765226107,-2028.956676789307,66.49904084690552
-305.3048880303605,-2032.9550287395095,66.69891617761117
-305.3994383737643,-2036.9539111124436,66.8956953460848
-305.47372512526505,-2040.9532212377717,67.08944759062506
-305.52774637756835,-2044.952856434174,67.28023986256015
-305.56150074369157,-2048.9527140119844,67.46813692996618
-305.57498735699954,-2052.952691275828,67.65320147541499
-305.5682058712268,-2056.952685527255,67.83549418816577
-305.54115646048604,-2060.952594067386,68.01507385118082
-305.4938398192648,-2064.9523141995287,68.19199742331583
-305.4262571624061,-2068.95174323184,68.36632011700708
-305.3384102250784,-2072.950778479947,68.53809547175318
-305.23030126273056,-2076.9493172695875,68.70737542366578
-305.1019330510341,-2080.9472569392456,68.87421037134304
-304.95330888581134,-2084.9444948427918,69.03864923667592
